"rt","key_press","target","target_type","correct"
"null","null","summary","word","false"
"null","null","woather","nonword","false"
"null","null","wenner","nonword","false"
"null","null","monkey","word","false"
"1954.2099999998754","90","strength","word","true"
"433.37500000052387","90","sentence","word","true"
"401.9049999988056","77","table","word","false"
"446.31500000105007","77","coe","nonword","true"
"1223.3350000024075","77","gine","nonword","true"
"558.5050000008778","90","ocean","word","true"
"437.09499999749823","90","fent","nonword","false"
"66.2350000020524","77","lobster","word","false"
"67.75500000003376","77","fright","word","false"
"30.095000001892913","77","selephore","nonword","true"
"70.14500000150292","90","zofe","nonword","false"
"136.07000000047265","77","tarl","nonword","true"
"105.44500000105472","90","carpet","word","true"
